,timestamp,publish,location,user_id
0,12.414936968474949,0,"(77.02, 38.53)",1000591
1,12.888496932823863,0,"(34.2, 58.3)",1000591
2,14.033509077475602,0,"(23.38, 102.33)",1000591
3,14.619593022431365,0,"(35.42, 139.0)",1000591
4,14.843099889683865,0,"(35.42, 139.0)",1000591
5,43.50167369404104,1,"(30.0, 31.17)",1000591
6,398.0972036956357,0,"(35.42, 139.0)",1000591
7,398.2066793500796,0,"(6.12, 106.5)",1000591
8,398.63492295527146,0,"(77.02, 38.53)",1000591
9,399.63139471585305,0,"(41.18, 2.06)",1000591
10,403.61870398038354,0,"(35.42, 139.0)",1000591
11,404.0286007721852,0,"(35.42, 139.0)",1000591
12,406.75758946914436,0,"(47.56, 15.47)",1000591
13,409.4130363424835,0,"(35.42, 139.0)",1000591
14,414.3428388611315,0,"(40.02, 32.54)",1000591
15,414.75068285899556,0,"(77.02, 38.53)",1000591
16,426.9987415564423,0,"(77.02, 38.53)",1000591
17,468.9763920107488,0,"(23.38, 102.33)",1000591
18,469.4789733953,0,"(6.12, 106.5)",1000591
19,472.29360728805744,0,"(77.02, 38.53)",1000591
20,472.6959312015769,0,"(77.02, 38.53)",1000591
21,520.4473079295507,0,"(35.42, 139.0)",1000591
22,521.1220961138633,0,"(35.42, 139.0)",1000591
23,534.0108429439445,1,"(40.02, 32.54)",1000591
24,534.3378123774787,0,"(48.08, 11.35)",1000591
25,535.8435956966824,0,"(3.08, 101.42)",1000591
26,603.0070809952681,0,"(35.42, 139.0)",1000591
27,603.1880550688257,0,"(6.12, 106.5)",1000591
28,610.7056332041733,0,"(37.35, 127.03)",1000591
29,613.5863971393492,0,"(21.3, 39.1)",1000591
30,623.8528980392292,0,"(47.56, 15.47)",1000591
31,625.4056962769341,0,"(77.02, 38.53)",1000591
32,646.323351294438,1,"(34.2, 58.3)",1000591
33,653.8351715500128,0,"(77.02, 38.53)",1000591
34,654.5556826414177,0,"(48.51, 2.2)",1000591
35,654.6473890747188,0,"(21.3, 39.1)",1000591
36,1023.7053000295374,0,"(77.02, 38.53)",1000591
37,1029.1968682250426,0,"(48.51, 2.2)",1000591
38,1033.391800948959,0,"(37.35, 127.03)",1000591
39,1034.3434641069894,0,"(23.38, 102.33)",1000591
40,1034.4470307175395,0,"(40.02, 32.54)",1000591
41,1039.1857431995757,0,"(3.08, 101.42)",1000591
42,1040.6109015018242,0,"(40.02, 32.54)",1000591
43,1066.123983632796,0,"(28.36, 77.12)",1000591
44,1091.874580634872,0,"(6.12, 106.5)",1000591
45,1121.7692517744008,0,"(77.02, 38.53)",1000591
46,1124.545958330461,0,"(35.42, 139.0)",1000591
47,1333.8828464564758,0,"(13.5, 100.29)",1000591
48,1343.5166204449724,0,"(23.38, 102.33)",1000591
49,1344.5529018961327,0,"(48.51, 2.2)",1000591
50,1345.3343126031693,0,"(77.02, 38.53)",1000591
51,1350.358296780692,1,"(6.12, 106.5)",1000591
52,1352.050096547763,0,"(13.5, 100.29)",1000591
53,1376.8657674051613,0,"(35.42, 139.0)",1000591
54,1377.567706383463,0,"(51.3, 0.07)",1000591
55,1378.0375086283657,0,"(77.02, 38.53)",1000591
56,1378.8258493711855,0,"(28.36, 77.12)",1000591
57,1379.7340899037547,0,"(77.02, 38.53)",1000591
58,1413.926597780634,0,"(23.38, 102.33)",1000591
59,1414.0148671288337,0,"(35.42, 139.0)",1000591
60,1665.8725296593732,0,"(35.42, 139.0)",1000591
61,1667.2070449953583,0,"(34.2, 58.3)",1000591
62,1667.282893154161,0,"(28.36, 77.12)",1000591
63,1673.0249231970297,1,"(48.08, 11.35)",1000591
64,1676.437346155345,0,"(77.02, 38.53)",1000591
65,2046.683218724411,0,"(6.12, 106.5)",1000591
66,2056.4483310512605,0,"(51.3, 0.07)",1000591
67,2115.9799685504986,0,"(51.3, 0.07)",1000591
68,2258.295354392185,0,"(48.08, 11.35)",1000591
69,2259.337319815356,0,"(51.3, 0.07)",1000591
70,2270.795904692298,0,"(47.56, 15.47)",1000591
71,2271.2113939848823,0,"(14.37, 121.0)",1000591
72,2273.0187264390797,0,"(77.02, 38.53)",1000591
73,2281.733748125826,0,"(35.42, 139.0)",1000591
74,2310.803350304288,0,"(77.02, 38.53)",1000591
75,2520.6609807802615,0,"(48.51, 2.2)",1000591
76,2522.3976571323683,0,"(47.56, 15.47)",1000591
77,2524.448809458727,0,"(49.13, 123.06)",1000591
78,2578.0249408599148,0,"(48.51, 2.2)",1000591
79,2580.62638950864,0,"(23.38, 102.33)",1000591
80,2590.9163210083425,0,"(21.3, 39.1)",1000591
81,2826.7764140657346,0,"(6.12, 106.5)",1000591
82,2837.5843624005006,0,"(77.02, 38.53)",1000591
83,2839.284580537958,0,"(77.02, 38.53)",1000591
