NodeID,EffectiveSize
0,4258.283203
1,3127.828369
2,464.401459
3,1497.349121
4,324.031677
5,150.793839
6,6208.528809
7,706.723694
8,1622.402832
9,68.735291
10,5319.446777
11,2347.779297
12,488.617310
13,579.406555
14,120.882370
15,957.602478
16,383.867035
17,88.702431
18,190.226746
19,694.249695
20,87.852943
21,1712.631592
22,195.958420
23,1751.472168
24,2070.711182
25,1140.301270
26,15.568621
27,565.776184
28,2822.424805
29,34.698112
30,13751.169922
31,725.747192
32,32.897758
33,238.018173
34,3427.286865
35,449.017059
36,636.420776
37,1754.294556
38,10488.004883
39,385.548706
40,393.101593
41,2631.964844
42,3960.879883
43,551.966797
44,30.844276
45,394.944336
46,66.174561
47,377.812592
48,42.736488
49,676.714539
50,183.888611
51,484.688812
52,412.991699
53,373.231049
54,2407.818848
55,4332.804199
56,380.363251
57,1318.601562
58,486.640686
59,51.266991
60,74.178871
61,539.772400
62,5190.824219
63,5288.089844
64,285.965546
65,3610.223633
66,724.729980
67,362.908020
68,208.320007
69,357.941498
70,267.839142
71,463.240295
72,6861.390137
73,367.323547
74,342.582581
75,123.809547
76,40.150032
77,1408.421265
78,9.033333
79,474.383850
80,3564.346924
81,11912.378906
82,2798.312500
83,361.541138
84,273.369446
85,670.459900
86,866.960632
87,2028.063599
88,930.270569
89,127.433014
90,5069.819336
91,6010.251465
92,302.112366
93,586.869507
94,474.632904
95,1871.838867
96,3565.259521
97,2665.091797
98,362.811462
99,114.342522
100,179.428223
101,157.523727
102,1282.517090
103,633.341064
104,3481.300781
105,1778.687744
106,865.851318
107,652.728149
108,496.097717
109,761.541748
110,105.114693
111,64.564255
112,578.285950
113,168.700546
114,476.321472
115,161.422897
116,33.103954
117,1283.014038
118,3268.560791
119,931.365967
120,498.643982
121,1818.222412
122,4484.418457
123,821.516235
124,1369.485596
125,282.268616
126,365.205048
127,1350.246460
128,82.492828
129,1522.639526
130,48.837193
131,949.978088
132,2873.388184
133,515.256836
134,1602.046875
135,5673.707520
136,15807.677734
137,363.786926
138,443.098846
139,175.352188
140,2253.346436
141,261.620758
142,3285.274658
143,143.077789
144,1186.212158
145,214.950180
146,396.819397
147,31.857117
148,236.953247
149,117.124329
150,1414.185547
151,159.368164
152,407.865143
153,747.566528
154,296.419037
155,390.146210
156,202.985657
157,200.030869
158,3173.680420
159,53.540691
160,3989.337402
161,2984.707764
162,276.005524
163,112.209473
164,6087.570312
165,521.252136
166,6573.863281
167,761.611206
168,361.590973
169,161.933853
170,7180.141113
171,4036.313232
172,3260.677246
173,965.466614
174,3212.346191
175,7711.906250
176,451.846008
177,38.514076
178,460.866608
179,300.318298
180,1254.007690
181,380.137207
182,36.030132
183,3450.539795
184,91.539772
185,928.171631
186,745.473511
187,503.542114
188,21.565216
189,4916.653809
